2017-12-30 09:51:45,775 | [46] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:51:45,787 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:51:45,781 | [47] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-30 09:51:45,799 | [47] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-30 09:51:46,027 | [46] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:51:46,032 | [46] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:51:46,046 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:51:46,056 | [46] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-30 09:51:46,066 | [46] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:51:46,072 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:51:46,029 | [47] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-30 09:51:46,077 | [46] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-30 09:51:46,081 | [47] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-30 09:51:46,097 | [47] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-30 09:51:46,109 | [47] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-30 09:51:46,116 | [47] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-30 09:51:46,123 | [47] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-30 09:51:46,128 | [47] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
