2017-12-28 09:58:59,269 | [64] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-28 09:58:59,281 | [64] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-28 09:58:59,445 | [64] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-28 09:58:59,456 | [64] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-28 09:58:59,465 | [64] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-28 09:58:59,475 | [64] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-28 09:58:59,485 | [64] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-28 09:58:59,494 | [64] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-28 09:58:59,506 | [64] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-28 09:58:59,516 | [64] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-28 09:58:59,526 | [64] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-28 09:58:59,537 | [64] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-28 09:58:59,602 | [64] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-28 09:58:59,614 | [64] | DefaultLogger | DEBUG - Connection closed...
2017-12-28 10:01:23,413 | [63] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-28 10:01:23,426 | [63] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-28 10:01:23,439 | [63] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-28 10:01:23,453 | [63] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-28 10:01:23,469 | [63] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-28 10:01:23,476 | [63] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-28 10:01:23,487 | [63] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-28 10:01:23,493 | [63] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-28 10:01:23,504 | [63] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-28 10:01:23,510 | [63] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-28 10:01:23,517 | [63] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-28 10:01:23,523 | [63] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-28 10:01:23,538 | [63] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-28 10:01:23,544 | [63] | DefaultLogger | DEBUG - Connection closed...
2017-12-28 10:04:44,813 | [61] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-28 10:04:44,835 | [61] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-28 10:04:44,847 | [61] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-28 10:04:44,857 | [61] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-28 10:04:44,866 | [61] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-28 10:04:44,877 | [61] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-28 10:04:44,887 | [61] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-28 10:04:44,896 | [61] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-28 10:04:44,904 | [61] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-28 10:04:44,912 | [61] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-28 10:04:44,922 | [61] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-28 10:04:44,929 | [61] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-28 10:04:44,942 | [61] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-28 10:04:44,951 | [61] | DefaultLogger | DEBUG - Connection closed...
2017-12-28 10:47:04,713 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-28 10:47:04,734 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-12-28 10:47:05,468 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-12-28 10:47:05,502 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
2017-12-28 10:49:22,883 | [8] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-28 10:49:22,934 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-28 10:49:22,986 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-28 10:49:23,002 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-28 10:49:23,017 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-28 10:49:23,030 | [8] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-28 10:49:23,045 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-28 10:49:23,060 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-28 10:49:23,074 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-28 10:49:23,170 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-28 10:49:23,189 | [8] | DefaultLogger | DEBUG - Connection closed...
