2017-12-26 21:57:01,884 | [1] | DefaultLogger | DEBUG - EncryptionKey key has been set...
2017-12-26 21:57:01,897 | [1] | DefaultLogger | DEBUG - AutoMapper settings started...
2017-12-26 21:57:02,115 | [1] | DefaultLogger | DEBUG - AutoMapper settings initialized...
2017-12-26 21:57:02,142 | [1] | DefaultLogger | DEBUG - AutoMapper settings validated...
2017-12-26 21:57:32,397 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:57:32,404 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:57:32,599 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:57:32,622 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:57:32,634 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:57:32,645 | [5] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-26 21:57:32,657 | [5] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:57:32,673 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:57:32,689 | [5] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-26 21:57:32,699 | [5] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-26 21:57:32,706 | [5] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-26 21:57:32,713 | [5] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:57:32,793 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:57:32,807 | [5] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:57:53,267 | [8] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:57:53,280 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:57:53,303 | [8] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:57:53,311 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:57:53,319 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:57:53,329 | [8] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:57:53,335 | [8] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:57:53,340 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:57:53,346 | [8] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:57:53,352 | [8] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:57:53,357 | [8] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 1, Size: -1
2017-12-26 21:57:53,363 | [8] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:57:53,367 | [8] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:57:53,372 | [8] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:57:53,377 | [8] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:57:53,381 | [8] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:57:53,457 | [8] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:57:53,478 | [8] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:36,634 | [12] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:36,643 | [12] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:36,649 | [12] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:36,657 | [12] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-26 21:59:36,664 | [12] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-26 21:59:36,670 | [12] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetBuyerList' object created...
2017-12-26 21:59:36,676 | [12] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-26 21:59:36,682 | [12] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-26 21:59:36,688 | [12] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 6
2017-12-26 21:59:36,695 | [12] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-26 21:59:36,701 | [12] | DefaultLogger | INFO  - Parameter: Name: @StartIndex, Direction: In, DataType: Int, Value: 3, Size: -1
2017-12-26 21:59:36,709 | [12] | DefaultLogger | INFO  - Parameter: Name: @PageSize, Direction: In, DataType: Int, Value: 2, Size: -1
2017-12-26 21:59:36,718 | [12] | DefaultLogger | INFO  - Parameter: Name: @BuyerCode, Direction: In, DataType: String, Value: , Size: 20
2017-12-26 21:59:36,724 | [12] | DefaultLogger | INFO  - Parameter: Name: @FirstName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:36,731 | [12] | DefaultLogger | INFO  - Parameter: Name: @LastName, Direction: In, DataType: String, Value: , Size: 100
2017-12-26 21:59:36,737 | [12] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-26 21:59:36,757 | [12] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-26 21:59:36,764 | [12] | DefaultLogger | DEBUG - Connection closed...
2017-12-26 21:59:38,479 | [5] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-26 21:59:38,490 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-26 21:59:38,496 | [5] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-26 21:59:38,511 | [5] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
