2017-12-31 09:49:37,814 | [176] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-31 09:49:37,839 | [176] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-31 09:49:37,838 | [174] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-31 09:49:37,873 | [174] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-31 09:49:38,027 | [176] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-31 09:49:38,034 | [176] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-31 09:49:38,040 | [176] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-31 09:49:38,033 | [174] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-31 09:49:38,075 | [174] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-31 09:49:38,084 | [174] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-31 09:49:38,092 | [174] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_GetDetails' object created...
2017-12-31 09:49:38,100 | [174] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-31 09:49:38,107 | [174] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-31 09:49:38,066 | [176] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-31 09:49:38,120 | [176] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-31 09:49:38,126 | [176] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-31 09:49:38,133 | [176] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-31 09:49:38,114 | [174] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-31 09:49:38,150 | [174] | DefaultLogger | INFO  - Parameter: Name: @BuyerID, Direction: In, DataType: Int, Value: 30, Size: -1
2017-12-31 09:49:38,156 | [174] | DefaultLogger | INFO  - Parameter: Name: @ClientID, Direction: In, DataType: Int, Value: 162236, Size: -1
2017-12-31 09:49:38,162 | [174] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-31 09:49:38,146 | [176] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-31 09:49:38,177 | [176] | DefaultLogger | DEBUG - Connection closed...
2017-12-31 09:49:38,188 | [174] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-31 09:49:38,203 | [174] | DefaultLogger | DEBUG - Connection closed...
2017-12-31 09:54:14,152 | [180] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-31 09:54:14,160 | [180] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-31 09:54:14,166 | [180] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-31 09:54:14,172 | [180] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-31 09:54:14,178 | [180] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-31 09:54:14,182 | [180] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Account_VerifyLoginCreds' object created...
2017-12-31 09:54:14,188 | [180] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-31 09:54:14,194 | [180] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-31 09:54:14,200 | [180] | DefaultLogger | INFO  - AddCommandParameters: parameter count - 2
2017-12-31 09:54:14,205 | [180] | DefaultLogger | INFO  - Parameter: Name: @UserName, Direction: In, DataType: String, Value: MLI, Size: -1
2017-12-31 09:54:14,210 | [180] | DefaultLogger | INFO  - Parameter: Name: @Password, Direction: In, DataType: String, Value: pSzNwXpUIzJCzksJOPo62w==, Size: -1
2017-12-31 09:54:14,215 | [180] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-31 09:54:14,286 | [180] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-31 09:54:14,292 | [180] | DefaultLogger | DEBUG - Connection closed...
2017-12-31 09:54:19,977 | [180] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-31 09:54:19,988 | [180] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-31 09:54:20,001 | [180] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
2017-12-31 09:54:20,008 | [180] | DefaultLogger | DEBUG - ExecuteProcedure: Started...
2017-12-31 09:54:20,016 | [180] | DefaultLogger | DEBUG - GetSqlCommand: Started...
2017-12-31 09:54:20,023 | [180] | DefaultLogger | INFO  - GetSqlCommand: Command 'P_Buyer_BuyerTypeList' object created...
2017-12-31 09:54:20,031 | [180] | DefaultLogger | DEBUG - GetSqlCommand: Completed...
2017-12-31 09:54:20,039 | [180] | DefaultLogger | DEBUG - AddCommandParameters: Started...
2017-12-31 09:54:20,045 | [180] | DefaultLogger | DEBUG - AddCommandParameters: Completed...
2017-12-31 09:54:20,053 | [180] | DefaultLogger | DEBUG - ExecuteProcedure: Completed...
2017-12-31 09:54:20,058 | [180] | DefaultLogger | DEBUG - Connection closed...
2017-12-31 10:00:00,723 | [193] | DefaultLogger | DEBUG - DefaultDatabaseAccessFactory-> GetAppDatabase : SQLDatabaseAccess class instantiated...
2017-12-31 10:00:00,737 | [193] | DefaultLogger | DEBUG - OpenConnection: Connection object instantiated...
2017-12-31 10:00:00,914 | [193] | DefaultLogger | DEBUG - OpenConnection: Connection opened...
